astroid-error,F0002
redundant-u-string-prefix,W1406
redundant-unittest-assert,W1503
redundant-yields-doc,W9010
reimported,W0404
return-in-finally,W0134
self-assigning-variable,W0127
self-cls-assignment,W0642
shadowed-import,W0416
shallow-copy-environ,W1507
signature-differs,W0222
subclassed-final-class,W0240
subprocess-popen-preexec-fn,W1509
subprocess-run-check,W1510
super-init-not-called,W0231
super-without-brackets,W0245
too-many-try-statements,W0717
try-except-raise,W0706
unbalanced-dict-unpacking,W0644
unbalanced-tuple-unpacking,W0632
undefined-loop-variable,W0631
unknown-option-value,W0012
unnecessary-ellipsis,W2301
unnecessary-lambda,W0108
unnecessary-pass,W0107
unnecessary-semicolon,W0301
unreachable,W0101
unspecified-encoding,W1514
unused-argument,W0613
unused-format-string-argument,W1304
unused-format-string-key,W1301
unused-import,W0611
unused-private-member,W0238
unused-variable,W0612
unused-wildcard-import,W0614
useless-else-on-loop,W0120
useless-param-doc,W9019
useless-parent-delegation,W0246
useless-type-doc,W9020
useless-with-lock,W2101
using-constant-test,W0125
using-f-string-in-unsupported-version,W2601
using-final-decorator-in-unsupported-version,W2602
while-used,W0149
wildcard-import,W0401
wrong-exception-operation,W0716
broad-except,W0703
cache-max-size-none,W1517
implicit-str-concat-in-sequence,W1403
lru-cache-decorating-method,W1516
old-assignment-from-none,W1111
old-deprecated-argument,W1511
old-deprecated-class,W1512
old-deprecated-decorator,W1513
old-deprecated-method,W1505
old-deprecated-module,W0402
old-empty-docstring,W0132
old-missing-param-doc,W9003
old-missing-returns-doc,W9007
old-missing-type-doc,W9004
old-missing-yields-doc,W9009
old-non-iterator-returned-1,W0234
old-unidiomatic-typecheck,W0154
old-unpacking-non-sequence,W0633
useless-super-delegation,W0235
bad-classmethod-argument,C0202
bad-docstring-quotes,C0198
bad-file-encoding,C2503
bad-mcs-classmethod-argument,C0204
bad-mcs-method-argument,C0203
consider-iterating-dictionary,C0201
consider-using-any-or-all,C0501
consider-using-dict-items,C0206
consider-using-enumerate,C0200
consider-using-f-string,C0209
dict-init-mutate,C3401
disallowed-name,C0104
docstring-first-line-empty,C0199
empty-docstring,C0112
